production_date_time,Lote_prod,Orden_prod,Material_prod,Fecha_inicio,Fecha_final,qty_prod,Num_pal,Lote_cons,Item_cons,Material_cons,Lam_pal,qty_cons,KG_DESPUNTE_20,KG_LAMINILLA_30,Ren_cal,Rend_Met,qty_prod3,Num_pal3,Lam_pal1,qty_cons3,KG_DESPUNTE_203,KG_LAMINILLA_303,Suma5
,,43046145,B HORMIGON 18MM 12M A630-420H (N),1/2/2026 9:10:51 AM,1/2/2026 10:32:47 AM,"43,702.0",30,,102526100,"PALANQUILLA 130X130MM AZA 1541 3,3M (N)",109,"47,480.4","3,103.7",674.7,92.04,96,"68,857,602.0",47627,167890,"72,727,844.0","3,219,845.9","1,024,672.1",94.68
,,43046081,B HORMIGON 18MM 12M A630-420H (N),1/2/2026 10:50:13 AM,1/2/2026 4:16:05 PM,"125,108.0",81,,102524188,"PALANQUILLA 130X130MM AZA 1541 3,4M (N)",297,"133,293.6","6,723.9","1,461.7",93.86,96,"68,857,602.0",47627,167890,"72,727,844.0","3,219,845.9","1,024,672.1",94.68
,,43046082,B HORMIGON 18MM 11M A630-420H (N),1/2/2026 4:36:06 PM,1/3/2026 3:14:52 AM,"227,051.0",149,,102524188,"PALANQUILLA 130X130MM AZA 1541 3,4M (N)",530,"237,864.0","8,836.6","2,055.0",95.45,96,"68,857,602.0",47627,167890,"72,727,844.0","3,219,845.9","1,024,672.1",94.68
,,43046144,B HORMIGON 18MM 10M A630-420H (N),1/3/2026 3:36:44 AM,1/3/2026 5:09:42 AM,"42,168.0",27,,102524188,"PALANQUILLA 130X130MM AZA 1541 3,4M (N)",100,"44,880.0","1,837.2",874.8,93.96,96,"68,857,602.0",47627,167890,"72,727,844.0","3,219,845.9","1,024,672.1",94.68
,,43046083,B HORMIGON 18MM 9M A630-420H (N),1/3/2026 5:30:51 AM,1/3/2026 7:36:47 AM,"55,745.0",37,,102524188,"PALANQUILLA 130X130MM AZA 1541 3,4M (N)",132,"59,241.6","2,551.6",945.0,94.10,95.9,"68,857,602.0",47627,167890,"72,727,844.0","3,219,845.9","1,024,672.1",94.68
,,43046084,B HORMIGON 18MM 8M A630-420H (N),1/3/2026 8:30:27 AM,1/3/2026 9:19:19 AM,"22,669.0",15,,102524188,"PALANQUILLA 130X130MM AZA 1541 3,4M (N)",54,"24,235.2","1,175.2",435.2,93.54,96,"68,857,602.0",47627,167890,"72,727,844.0","3,219,845.9","1,024,672.1",94.68
,,43046085,B HORMIGON 18MM 7M A630-420H (N),1/3/2026 9:47:05 AM,1/3/2026 10:55:51 AM,"31,676.0",24,,102524188,"PALANQUILLA 130X130MM AZA 1541 3,4M (N)",75,"33,660.0",939.8,"1,044.2",94.11,95.9,"68,857,602.0",47627,167890,"72,727,844.0","3,219,845.9","1,024,672.1",94.68
,,43046086,B HORMIGON 18MM 6M A630-420H (N),1/3/2026 11:14:11 AM,1/3/2026 2:33:43 PM,"80,445.0",77,,102524188,"PALANQUILLA 130X130MM AZA 1541 3,4M (N)",189,"84,823.2","3,596.4",781.8,94.84,96,"68,857,602.0",47627,167890,"72,727,844.0","3,219,845.9","1,024,672.1",94.68
,,43046087,B HORMIGON 18MM 12M A630-420HS (N),1/3/2026 3:39:51 PM,1/5/2026 6:09:25 AM,"134,976.0",87,,119506262,"PALANQUILLA 130X130MM AZA 1629 3,4M (N",320,"143,616.0","5,082.4","3,557.7",93.98,95,"68,857,602.0",47627,167890,"72,727,844.0","3,219,845.9","1,024,672.1",94.68
,,43046088,B HORMIGON 18MM 11M A630-420HS (N),1/5/2026 6:38:35 AM,1/5/2026 7:40:39 AM,"29,326.0",20,,119506262,"PALANQUILLA 130X130MM AZA 1629 3,4M (N",64,"28,723.2",575.9,403.1,102.10,95,"68,857,602.0",47627,167890,"72,727,844.0","3,219,845.9","1,024,672.1",94.68
,,43046089,B HORMIGON 32MM 12M A630-420H (N),1/5/2026 11:09:43 AM,1/6/2026 12:45:23 AM,"198,647.0",134,,102513137,PALANQUILLA 130X130MM AZA 1541 3M (N),541,"214,236.0","9,041.6","6,547.4",92.72,96,"68,857,602.0",47627,167890,"72,727,844.0","3,219,845.9","1,024,672.1",94.68
,,43046092,SAFEROCK 25MM 12M A420,1/6/2026 2:48:56 AM,1/6/2026 5:38:11 AM,"72,482.0",37,,102524193,"PALANQUILLA 130X130MM AZA 1542 3,4M (N)",175,"78,540.0","5,441.0",617.0,92.29,95.3,"68,857,602.0",47627,167890,"72,727,844.0","3,219,845.9","1,024,672.1",94.68
,,43046094,"SAFEROCK SEMI 25MM 10,5M A280",1/6/2026 6:13:42 AM,1/6/2026 4:07:51 PM,"77,144.0",38,,102524194,"PALANQUILLA 130X130MM AZA 1021 3,4M (N)",181,"81,232.8","3,384.1","2,450.5",94.97,95,"68,857,602.0",47627,167890,"72,727,844.0","3,219,845.9","1,024,672.1",94.68
,,43046091,"SAFEROCK 25MM 11,96M A520",1/6/2026 8:12:16 AM,1/6/2026 10:14:58 AM,"55,630.0",26,,102526117,"PALANQUILLA 130X130MM AZA 1644 3,4M (N)",132,"59,241.6","2,094.7","1,516.9",93.90,97,"68,857,602.0",47627,167890,"72,727,844.0","3,219,845.9","1,024,672.1",94.68
,,43046095,"SAFEROCK 25MM 8,4M A520",1/6/2026 10:49:12 AM,1/6/2026 11:55:12 AM,"33,919.0",17,,102526117,"PALANQUILLA 130X130MM AZA 1644 3,4M (N)",82,"36,801.6","1,671.9","1,210.7",92.17,97,"68,857,602.0",47627,167890,"72,727,844.0","3,219,845.9","1,024,672.1",94.68
,,43046090,SAFEROCK 25MM 12M A520D,1/6/2026 12:49:12 PM,1/6/2026 1:31:03 PM,"23,250.0",12,,119507026,"PALANQUILLA 130X130MM AZA 1631 3,4M (N)",55,"24,684.0",831.7,602.3,94.19,97,"68,857,602.0",47627,167890,"72,727,844.0","3,219,845.9","1,024,672.1",94.68
