Fecha	Colada	Largo	Cantidad	Producto	Calidad
25-03-2025	SN	3,4	3	PL 38X12	FGRADO
25-03-2025	SN	3,4	3	PL50X3	FGRADO
26-03-2025	SN	3,4	4	HORM	FGRADO
27-03-2025	S/N	3,4	3	Horm 28/M	FGRADO
27-03-2025	SN	3,4	3	REND25/M	FGRADO
28-03-2025	SN	3,4	3	SF25	FGRADO
29-03-2025	S/N	3,4	3	HORM25/M	FGRADO
29-03-2025	SN	3,4	3	LIS0 25M/M	FGRADO
31-03-2025	S/N	3,4	3	PLANA 50X8	FGRADO
31-03-2025	S/N	3,4	3	PLANA50X6	FGRADO
31-03-2025	S/N	3,4	3	HORMIG18	FGRADO
01-04-2025	SN	3,4	4	ANGULO50X6	FGRADO
01-04-2025	SN	3,4	3	50X5	FGRADO
02-04-2025	SN	3,4	3	50X3	FGRADO
03-04-2025	SN	3,4	3	PLANA 75X12	FGRADO
03-04-2025	SN	3,4	3	75X10	FGRADO
04-04-2025	S/N	3,4	3	75X6	FGRADO
04-04-2025	S/N	3,4	3	75X5	FGRADO
04-04-2025	SN	3,4	3	ANG40X6	FGRADO
04-04-2025	SN	3,4	3	ANG40X5	FGRADO
05-04-2025	SN	3,4	3	ANG40X4	FGRADO
05-04-2025	SN	3,4	3	ANG40X3	FGRADO
07-04-2025	S/N	3,4	3	CUAD 25	FGRADO
08-04-2025	SN	3,4	3	RED1/3/4	FGRADO
08-04-2025	S/N	3,4	3	RED1/14	FGRADO
08-04-2025	S/N	3,4	3	PLANA 50X5	FGRADO
09-04-2025	SN	3,4	3	RED C/R 25m	FGRADO
10-04-2025	S/N	3,4	4	RED C/R 28	FGRADO
12-04-2025	SN	3,4	3	REDC/R18M	FGRADO
16-04-2025	S/N	3,4	3	RED L19	FGRADO
16-04-2025	SN	3,4	3	SF22MM	FGRADO
17-04-2025	SN	3,4	5	POSTE AZA	FGRADO
17-04-2025	SN	3,4	3	C/R28MM	FGRADO
19-04-2025	SN	3,4	4		FGRADO
21-04-2025	S/N	3,4	3	C/R25 MM	FGRADO
22-04-2025	S/N	3,4	3	SAF 25/M	FGRADO
22-04-2025	S/N	3,4	5	PLANA 32X6	FGRADO
22-04-2025	S/N	3,4	3	PLANA32X5	FGRADO
23-04-2025	S/N		3	PLANA 38X3	FGRADO
24-04-2024	S/N	2,9	3	PLANA 18X8	FGRADO
24-04-2024	S/N	2,9	2	PLANA32X3	FGRADO
25-04-2025	SN	2,9	3		FGRADO
25-04-2025	S/N	3,4	3	REND36M	FGRADO
26-04-2025	S/N	3,4	3	REND18M	FGRADO
28-04-2025	S/N	3,4	3	REND25M	FGRADO
29-04-2025	SN	3,4	3	ANG50X5	FGRADO
30-04-2025	SN	3,4	3	ANG50X4	FGRADO
30-04-2025	SN	3,4	3	ANG50X3	FGRADO
02-05-2025	SN	3,4	5	ANG75X6	FGRADO
02-05-2025	SN	3,4	4	ANG80X12	FGRADO
03-05-2025	SN	3,4	3	ANG80X10	FGRADO
03-05-2025	SN	3,4	2	ANG80X8	FGRADO
03-05-2025	SN	3,4	2	ANG80X6	FGRADO
05-05-2025	SN	3,4	3		FGRADO
05-05-2025	S/N	3,4	3	PLANA100X12	FGRADO
05-05-2025	S/N	3,4	3	PLANA100X10	FGRADO
06-05-2025	SN	3,4	3	PLANA100X8	FGRADO
06-05-2025	SN	3,4	3	PLANA100X6	FGRADO
06-05-2025	S/N	34	3	PLANA100X5	FGRADO
06-05-2025	S/N	3,4	3	ANG 30X5	FGRADO
07-05-2025	SN	3,4	3	ANG30X3	FGRADO
07-05-2025	s/n	3,4	3	SAF19M	FGRADO
07-05-2025	S/N	3,4	3	SAF22/M	FGRADO
08-05-2025	S/N	3,4	3	REDC/R18M	FGRADO
10-05-2025	S/N	3,4	3	SAF 25M	FGRADO
10-05-2025	S/N	3,4	3	REDC/R25M	FGRADO
12-05-2025	SN	3,4	3	PLANA50X12	FGRADO
12-05-2025	SN	3,4	3	PLANA50X10	FGRADO
13-05-2025	S/N	3,4	3	PLANA63X12	FGRADO
13-05-2025	S/N	3,4	3	PLANA63X10	FGRADO
